tweet_id_str,created_at,processed_text,token,mentions,jumlah_mention,id
1943200591595082046,Thu Jul 10 06:48:18 +0000 2025,bapak kok nuntut kampus ugm kalau ijazah bapak pasti palsu p roy kawan,"['bapak', 'kok', 'nuntut', 'kampus', 'ugm', 'kalau', 'ijazah', 'bapak', 'pasti', 'palsu', 'p', 'roy', 'kawan']",,0,1943200591595082046
1943200450745938037,Thu Jul 10 06:47:45 +0000 2025,aya aya waeloe trump ngomong-ngomong memang si manusia dusta jokowi berani nunjukin ijazah nya kencing diri si mulyonongga perlu ngimpi deh ente trump,"['aya', 'aya', 'waeloe', 'trump', 'ngomong-ngomong', 'memang', 'si', 'manusia', 'dusta', 'jokowi', 'berani', 'nunjukin', 'ijazah', 'nya', 'kencing', 'diri', 'si', 'mulyonongga', 'perlu', 'ngimpi', 'deh', 'ente', 'trump']",,0,1943200450745938037
1943200394974499051,Thu Jul 10 06:47:31 +0000 2025,biasa samping ijazah,"['biasa', 'samping', 'ijazah']",@lemonnnn_____,1,1943200394974499051
1943200340104614262,Thu Jul 10 06:47:18 +0000 2025,tau aku baca sih usaha apa larang tahan ijazah,"['tau', 'aku', 'baca', 'sih', 'usaha', 'apa', 'larang', 'tahan', 'ijazah']","@lopmyselff,@worksfess",2,1943200340104614262
1943200256587350295,Thu Jul 10 06:46:58 +0000 2025,kalau santai tinggal tunjuk langsung kan selesai urus terus teriak palsu masuk penjara atas tuduh cemar nama baiksimpel kan bahkan punya ijazah enggan tunjuk nama selalu sebut,"['kalau', 'santai', 'tinggal', 'tunjuk', 'langsung', 'kan', 'selesai', 'urus', 'terus', 'teriak', 'palsu', 'masuk', 'penjara', 'atas', 'tuduh', 'cemar', 'nama', 'baiksimpel', 'kan', 'bahkan', 'punya', 'ijazah', 'enggan', 'tunjuk', 'nama', 'selalu', 'sebut']",@Intel_Imut,1,1943200256587350295
1943200179974213680,Thu Jul 10 06:46:40 +0000 2025,bukti ijazah palsu sbaiknya pak lapor bang roy suryo cs tunjuk ijazah asli jangan ijazah apa punya p jokowi palsu masuk omong sejak palsu semua,"['bukti', 'ijazah', 'palsu', 'sbaiknya', 'pak', 'lapor', 'bang', 'roy', 'suryo', 'cs', 'tunjuk', 'ijazah', 'asli', 'jangan', 'ijazah', 'apa', 'punya', 'p', 'jokowi', 'palsu', 'masuk', 'omong', 'sejak', 'palsu', 'semua']","@tvOneNews,@KRMT_RoySuryo,@jokowi,@jokowi,@poldametro91",5,1943200179974213680
1943199768529842609,Thu Jul 10 06:45:02 +0000 2025,milik ijazah asli,"['milik', 'ijazah', 'asli']","@_bsutanto,@STresnowati1,@jokowi,@UGMYogyakarta,@DokterTifa",5,1943199768529842609
1943199760602796291,Thu Jul 10 06:45:00 +0000 2025,update roy suryo ungkap tabir ijazah palsu konspirasi jejak curiga pasar pramuka,"['update', 'roy', 'suryo', 'ungkap', 'tabir', 'ijazah', 'palsu', 'konspirasi', 'jejak', 'curiga', 'pasar', 'pramuka']",,0,1943199760602796291
1943199635977441413,Thu Jul 10 06:44:30 +0000 2025,loh beasiswa mana nahan ijazah,"['loh', 'beasiswa', 'mana', 'nahan', 'ijazah']",@mieladyy,1,1943199635977441413
1943199437368758383,Thu Jul 10 06:43:43 +0000 2025,azmi jokowi tinggal tunjuk ijazah asli milik hingga kasus selesai kalau tunjuk ijazah asli palsu makin runyam masalah,"['azmi', 'jokowi', 'tinggal', 'tunjuk', 'ijazah', 'asli', 'milik', 'hingga', 'kasus', 'selesai', 'kalau', 'tunjuk', 'ijazah', 'asli', 'palsu', 'makin', 'runyam', 'masalah']",@CNNIndonesia,1,1943199437368758383
1943199383471952125,Thu Jul 10 06:43:30 +0000 2025,kan jadi masalah ijazah nya molyono bukan wajah iya wajar cari ijazah,"['kan', 'jadi', 'masalah', 'ijazah', 'nya', 'molyono', 'bukan', 'wajah', 'iya', 'wajar', 'cari', 'ijazah']",@OposisiCerdas,1,1943199383471952125
1943199344297144777,Thu Jul 10 06:43:21 +0000 2025,memang beneran laminating ijazah,"['memang', 'beneran', 'laminating', 'ijazah']",@matchaluvfs,1,1943199344297144777
1943199340580999499,Thu Jul 10 06:43:20 +0000 2025,benar ijazah asli made in pasar pramuka,"['benar', 'ijazah', 'asli', 'made', 'in', 'pasar', 'pramuka']","@DianSandiU,@musthafa_r85831",2,1943199340580999499
1943199304312852912,Thu Jul 10 06:43:11 +0000 2025,klu ugm rasa punya tanggung jawab moral hukum lebih baik tutup takut diangap kampus hasil ijazah palsu,"['klu', 'ugm', 'rasa', 'punya', 'tanggung', 'jawab', 'moral', 'hukum', 'lebih', 'baik', 'tutup', 'takut', 'diangap', 'kampus', 'hasil', 'ijazah', 'palsu']",@ArdieSuhardi321,1,1943199304312852912
1943199190060011599,Thu Jul 10 06:42:44 +0000 2025,memang kalau join psht punya ijazah asli,"['memang', 'kalau', 'join', 'psht', 'punya', 'ijazah', 'asli']",,0,1943199190060011599
1943199169780551932,Thu Jul 10 06:42:39 +0000 2025,simpen ijazah benar deh kalau hilang ngurusnya ribet lelah,"['simpen', 'ijazah', 'benar', 'deh', 'kalau', 'hilang', 'ngurusnya', 'ribet', 'lelah']",,0,1943199169780551932
1943199158720139674,Thu Jul 10 06:42:36 +0000 2025,paling bagong kata menchotot si paling menchotot mau tunjuk ijazah asli sekarang kulit nya menchotot mau niat menchotot konoha tuju kakak menchotot besar,"['paling', 'bagong', 'kata', 'menchotot', 'si', 'paling', 'menchotot', 'mau', 'tunjuk', 'ijazah', 'asli', 'sekarang', 'kulit', 'nya', 'menchotot', 'mau', 'niat', 'menchotot', 'konoha', 'tuju', 'kakak', 'menchotot', 'besar']",@Gank_Of_Petojo,1,1943199158720139674
1943198823855382695,Thu Jul 10 06:41:17 +0000 2025,tpua minta nunjukin ijazah asli iya repot punya punya palsu,"['tpua', 'minta', 'nunjukin', 'ijazah', 'asli', 'iya', 'repot', 'punya', 'punya', 'palsu']","@keuangannews_id,@keuangan",2,1943198823855382695
1943198580841574908,Thu Jul 10 06:40:19 +0000 2025,mslhnya justru situ jkw keras kepala mau lihat ijazah orang normal rakyat biasa punya wajib lihat ijazah sbgmn harus mantan presiden bangga lihat ijazah ugm aplg jkw mantan jabat publiknegara,"['mslhnya', 'justru', 'situ', 'jkw', 'keras', 'kepala', 'mau', 'lihat', 'ijazah', 'orang', 'normal', 'rakyat', 'biasa', 'punya', 'wajib', 'lihat', 'ijazah', 'sbgmn', 'harus', 'mantan', 'presiden', 'bangga', 'lihat', 'ijazah', 'ugm', 'aplg', 'jkw', 'mantan', 'jabat', 'publiknegara']",@CNNIndonesia,1,1943198580841574908
1943198534590959965,Thu Jul 10 06:40:08 +0000 2025,mudah sudah ijazah palsu tinggal tunjukkin ijazah asli beres perlu sewa acara,"['mudah', 'sudah', 'ijazah', 'palsu', 'tinggal', 'tunjukkin', 'ijazah', 'asli', 'beres', 'perlu', 'sewa', 'acara']",@PngAdilnR4kyt,1,1943198534590959965
1943198520997183594,Thu Jul 10 06:40:04 +0000 2025,rektor ugm hadir gelar perkara ijazah palsu jokowi,"['rektor', 'ugm', 'hadir', 'gelar', 'perkara', 'ijazah', 'palsu', 'jokowi']",,0,1943198520997183594
1943198494543458363,Thu Jul 10 06:39:58 +0000 2025,aku cuma ijazah sd,"['aku', 'cuma', 'ijazah', 'sd']","@xoxomii_13,@Koushiro_Vrc,@renjanaforhn",3,1943198494543458363
1943198400125767785,Thu Jul 10 06:39:36 +0000 2025,cuma ngeluarin ijazah s asli urus muter begini deh jelas kalau ijazah nya memang masalah,"['cuma', 'ngeluarin', 'ijazah', 's', 'asli', 'urus', 'muter', 'begini', 'deh', 'jelas', 'kalau', 'ijazah', 'nya', 'memang', 'masalah']",@OposisiCerdas,1,1943198400125767785
1943198375987314731,Thu Jul 10 06:39:30 +0000 2025,memang si bodat berani adu ilmu forensik joshua banci kaleng berani takut ijazah kata univ yamaguchi bongkar asal usul,"['memang', 'si', 'bodat', 'berani', 'adu', 'ilmu', 'forensik', 'joshua', 'banci', 'kaleng', 'berani', 'takut', 'ijazah', 'kata', 'univ', 'yamaguchi', 'bongkar', 'asal', 'usul']",,0,1943198375987314731
1943198249139245184,Thu Jul 10 06:39:00 +0000 2025,kalau muak iya suruh tampil ijazah ny minimal legalisir lah perlu penuh drama suka teriak analog pernah lihat analog ny kan lucu kubu nya sendiri pernah lihat orang hidup kok ruwet banget,"['kalau', 'muak', 'iya', 'suruh', 'tampil', 'ijazah', 'ny', 'minimal', 'legalisir', 'lah', 'perlu', 'penuh', 'drama', 'suka', 'teriak', 'analog', 'pernah', 'lihat', 'analog', 'ny', 'kan', 'lucu', 'kubu', 'nya', 'sendiri', 'pernah', 'lihat', 'orang', 'hidup', 'kok', 'ruwet', 'banget']","@widyanidonk63,@DianSandiU",2,1943198249139245184
1943198090078622087,Thu Jul 10 06:38:22 +0000 2025,okee tunjuk ijazah asli sekarang,"['okee', 'tunjuk', 'ijazah', 'asli', 'sekarang']","@Koushiro_Vrc,@kenshi2k_,@renjanaforhn",3,1943198090078622087
1943198066762485999,Thu Jul 10 06:38:16 +0000 2025,sama kasus ijazah nya c jokowi,"['sama', 'kasus', 'ijazah', 'nya', 'c', 'jokowi']",@GeiszChalifah,1,1943198066762485999
1943197956540370976,Thu Jul 10 06:37:50 +0000 2025,lorong tuju buat ijazah gadungan,"['lorong', 'tuju', 'buat', 'ijazah', 'gadungan']",@V3g3L,1,1943197956540370976
1943197930921562529,Thu Jul 10 06:37:44 +0000 2025,habis tolak kerja tempat redflag nahan ijazah,"['habis', 'tolak', 'kerja', 'tempat', 'redflag', 'nahan', 'ijazah']",,0,1943197930921562529
1943197926911861028,Thu Jul 10 06:37:43 +0000 2025,ijazah produksi pasar pramuka pojok simpan saja bikin malu,"['ijazah', 'produksi', 'pasar', 'pramuka', 'pojok', 'simpan', 'saja', 'bikin', 'malu']","@keuangannews_id,@keuangan",2,1943197926911861028
1943197889301295295,Thu Jul 10 06:37:34 +0000 2025,jokowi pakai ijazah palsu wajib miskin keluarga,"['jokowi', 'pakai', 'ijazah', 'palsu', 'wajib', 'miskin', 'keluarga']","@Bicaasaaal,@Xiaomi_winz,@detikcom",3,1943197889301295295
1943197816870097363,Thu Jul 10 06:37:17 +0000 2025,hm bagaimana yaaa kalau aku seperti dua 2024 lamaaa lho nder kalau mutusin kontrak kena penalti kalau kena terus tahan ijazah waduh,"['hm', 'bagaimana', 'yaaa', 'kalau', 'aku', 'seperti', 'dua', '2024', 'lamaaa', 'lho', 'nder', 'kalau', 'mutusin', 'kontrak', 'kena', 'penalti', 'kalau', 'kena', 'terus', 'tahan', 'ijazah', 'waduh']",@worksfess,1,1943197816870097363
1943197757508063396,Thu Jul 10 06:37:02 +0000 2025,barang bukti ijazah kembali bukti ijazah jokowi asli palsu,"['barang', 'bukti', 'ijazah', 'kembali', 'bukti', 'ijazah', 'jokowi', 'asli', 'palsu']",@democrazymedia,1,1943197757508063396
1943197687026684284,Thu Jul 10 06:36:46 +0000 2025,ijazah palsu gigi palsu mahal ijazah palsu sulit temu sidang ssh,"['ijazah', 'palsu', 'gigi', 'palsu', 'mahal', 'ijazah', 'palsu', 'sulit', 'temu', 'sidang', 'ssh']","@keuangannews_id,@keuangan",2,1943197687026684284
1943197672157937895,Thu Jul 10 06:36:42 +0000 2025,ijazah jokowi aslih asli palsu termul termul termul bodoh mutermuter terus terus kalau pepet main lapor kejam nya bazzer nya ternak nya,"['ijazah', 'jokowi', 'aslih', 'asli', 'palsu', 'termul', 'termul', 'termul', 'bodoh', 'mutermuter', 'terus', 'terus', 'kalau', 'pepet', 'main', 'lapor', 'kejam', 'nya', 'bazzer', 'nya', 'ternak', 'nya']",@ommi_siregar,1,1943197672157937895
1943197657729573011,Thu Jul 10 06:36:39 +0000 2025,hasil ijazah palsu kok gaji,"['hasil', 'ijazah', 'palsu', 'kok', 'gaji']","@Xiaomi_winz,@detikcom",2,1943197657729573011
1943197642194063700,Thu Jul 10 06:36:35 +0000 2025,kalau otak cerdas ijazah langsung buat daftar kuliah s jadi jabat banyak orang percaya,"['kalau', 'otak', 'cerdas', 'ijazah', 'langsung', 'buat', 'daftar', 'kuliah', 's', 'jadi', 'jabat', 'banyak', 'orang', 'percaya']",@KrismonAdji,1,1943197642194063700
1943197593619828955,Thu Jul 10 06:36:23 +0000 2025,ijazah asli memang uang kalau palsu adaaa,"['ijazah', 'asli', 'memang', 'uang', 'kalau', 'palsu', 'adaaa']",,0,1943197593619828955
1943197516926980126,Thu Jul 10 06:36:05 +0000 2025,mirip jalan tuju ijazah bodong orang sana,"['mirip', 'jalan', 'tuju', 'ijazah', 'bodong', 'orang', 'sana']",@Goo9le_Fiv3,1,1943197516926980126
1943197482604990762,Thu Jul 10 06:35:57 +0000 2025,erti sama loker tahan ijazah maksud bagaimana,"['erti', 'sama', 'loker', 'tahan', 'ijazah', 'maksud', 'bagaimana']",@alliceonus,1,1943197482604990762
1943197361502572828,Thu Jul 10 06:35:28 +0000 2025,alumni ugm alumni ugm lintas fakultas minta jokowi tunjuk ijazah asli tempo jam jokowi bukan alumni ugm,"['alumni', 'ugm', 'alumni', 'ugm', 'lintas', 'fakultas', 'minta', 'jokowi', 'tunjuk', 'ijazah', 'asli', 'tempo', 'jam', 'jokowi', 'bukan', 'alumni', 'ugm']",,0,1943197361502572828
1943197127447818671,Thu Jul 10 06:34:32 +0000 2025,kalau bodoh bodoh ajajgn tambah dungupak kasmujo aku pernah lihat ijazah asli aku jokowi bimbing skripsitrus tanggal kkn beda sama ucap jokowi sana bareskrimfto copy identik bloon,"['kalau', 'bodoh', 'bodoh', 'ajajgn', 'tambah', 'dungupak', 'kasmujo', 'aku', 'pernah', 'lihat', 'ijazah', 'asli', 'aku', 'jokowi', 'bimbing', 'skripsitrus', 'tanggal', 'kkn', 'beda', 'sama', 'ucap', 'jokowi', 'sana', 'bareskrimfto', 'copy', 'identik', 'bloon']","@ca321abbd90a434,@arifbalikpapan1",2,1943197127447818671
1943197031394320826,Thu Jul 10 06:34:09 +0000 2025,sesal pihak polri netral seluruh rakyat indonesia panggil pihak satu panggil pihak bahkan tutup ikut jelas kalau ijazah identik padahal berani lihat kan sini netral,"['sesal', 'pihak', 'polri', 'netral', 'seluruh', 'rakyat', 'indonesia', 'panggil', 'pihak', 'satu', 'panggil', 'pihak', 'bahkan', 'tutup', 'ikut', 'jelas', 'kalau', 'ijazah', 'identik', 'padahal', 'berani', 'lihat', 'kan', 'sini', 'netral']",@rmol_id,1,1943197031394320826
1943196949399892410,Thu Jul 10 06:33:50 +0000 2025,tebus ijazah bayar terus kalau daftar kuliah bayar iya bayar buat tebus ijazah dulu kuliah apa tebus ijazah legalisir nilai lebih besar ketimbang uang kuliah,"['tebus', 'ijazah', 'bayar', 'terus', 'kalau', 'daftar', 'kuliah', 'bayar', 'iya', 'bayar', 'buat', 'tebus', 'ijazah', 'dulu', 'kuliah', 'apa', 'tebus', 'ijazah', 'legalisir', 'nilai', 'lebih', 'besar', 'ketimbang', 'uang', 'kuliah']",@utfess,1,1943196949399892410
1943196934086496763,Thu Jul 10 06:33:46 +0000 2025,lebih percaya roy suryo ijazah jokowi palsu bagaimana kalian,"['lebih', 'percaya', 'roy', 'suryo', 'ijazah', 'jokowi', 'palsu', 'bagaimana', 'kalian']",,0,1943196934086496763
1943196860115751029,Thu Jul 10 06:33:28 +0000 2025,ijazah asli nya ghaib rakyat waras mana percaya percaya makhluk ghaib cipta allah bukan ijazah ghaib ingat sekali bukan ijazah asli ghaib,"['ijazah', 'asli', 'nya', 'ghaib', 'rakyat', 'waras', 'mana', 'percaya', 'percaya', 'makhluk', 'ghaib', 'cipta', 'allah', 'bukan', 'ijazah', 'ghaib', 'ingat', 'sekali', 'bukan', 'ijazah', 'asli', 'ghaib']",@RIPDEMOKRASI,1,1943196860115751029
1943196792616567240,Thu Jul 10 06:33:12 +0000 2025,listnya tapiii baju magic com setrika alat dapur piring sendok wajanpanci listrik kawan hanger ember terminal scan surat penting ijazah kakak lain,"['listnya', 'tapiii', 'baju', 'magic', 'com', 'setrika', 'alat', 'dapur', 'piring', 'sendok', 'wajanpanci', 'listrik', 'kawan', 'hanger', 'ember', 'terminal', 'scan', 'surat', 'penting', 'ijazah', 'kakak', 'lain']",@2shotscoffee,1,1943196792616567240
1943196758907195475,Thu Jul 10 06:33:04 +0000 2025,om trump beri atensi ijazah jokowi,"['om', 'trump', 'beri', 'atensi', 'ijazah', 'jokowi']",@hiromi_setoo,1,1943196758907195475
1943196663008448629,Thu Jul 10 06:32:41 +0000 2025,enak bicara sudah lha 2024 dibohongin main maaf tunjukkin ijazah bahkan masyarakat notabene selalu bayar pajak buat gaji diperkarakanbedebah,"['enak', 'bicara', 'sudah', 'lha', '2024', 'dibohongin', 'main', 'maaf', 'tunjukkin', 'ijazah', 'bahkan', 'masyarakat', 'notabene', 'selalu', 'bayar', 'pajak', 'buat', 'gaji', 'diperkarakanbedebah']",@anfarizzat,1,1943196663008448629
1943196652392603888,Thu Jul 10 06:32:39 +0000 2025,gagal cs dasar analisa kaji sesuai ilmu tahu skrng tinggal tunjuk ijazah jokowi asli sesuai hasil analisa roy suryo cs kan banget harus jangan kata roy suryo gagal bukti bodoh,"['gagal', 'cs', 'dasar', 'analisa', 'kaji', 'sesuai', 'ilmu', 'tahu', 'skrng', 'tinggal', 'tunjuk', 'ijazah', 'jokowi', 'asli', 'sesuai', 'hasil', 'analisa', 'roy', 'suryo', 'cs', 'kan', 'banget', 'harus', 'jangan', 'kata', 'roy', 'suryo', 'gagal', 'bukti', 'bodoh']","@YakupH,@roySuryo",2,1943196652392603888
1943196483693744566,Thu Jul 10 06:31:59 +0000 2025,polri mampu tampil ijazah asli rakyat paksa percaya ijazah asli analogi jenazah autopsi olh dokter forensik jenazah nya lalu suruh percaya hasil autopsi begitu bodoh rakyat indonesia,"['polri', 'mampu', 'tampil', 'ijazah', 'asli', 'rakyat', 'paksa', 'percaya', 'ijazah', 'asli', 'analogi', 'jenazah', 'autopsi', 'olh', 'dokter', 'forensik', 'jenazah', 'nya', 'lalu', 'suruh', 'percaya', 'hasil', 'autopsi', 'begitu', 'bodoh', 'rakyat', 'indonesia']",,0,1943196483693744566
1943196358120218798,Thu Jul 10 06:31:29 +0000 2025,kaget mmg ijazah asli nya,"['kaget', 'mmg', 'ijazah', 'asli', 'nya']",@geloraco,1,1943196358120218798
1943196344174121079,Thu Jul 10 06:31:25 +0000 2025,sesumbar roy suryo soal ijazah palsu kubu jokowi anggap bukti apa lewat,"['sesumbar', 'roy', 'suryo', 'soal', 'ijazah', 'palsu', 'kubu', 'jokowi', 'anggap', 'bukti', 'apa', 'lewat']",@YouTube,1,1943196344174121079
1943196290827063681,Thu Jul 10 06:31:13 +0000 2025,lama kapolrinya listyo sigit gaduh ijazah palsu jokowi pernah tuntas ujung ujung perintah prabowo rugi investor berani masuk masuk pinginnya kabur,"['lama', 'kapolrinya', 'listyo', 'sigit', 'gaduh', 'ijazah', 'palsu', 'jokowi', 'pernah', 'tuntas', 'ujung', 'ujung', 'perintah', 'prabowo', 'rugi', 'investor', 'berani', 'masuk', 'masuk', 'pinginnya', 'kabur']","@SenopatiDiAnno,@prabowo",2,1943196290827063681
1943196237160989051,Thu Jul 10 06:31:00 +0000 2025,kalau kasus ijazah palsu henti rismon gugat jokowi skripsi palsu,"['kalau', 'kasus', 'ijazah', 'palsu', 'henti', 'rismon', 'gugat', 'jokowi', 'skripsi', 'palsu']",,0,1943196237160989051
1943196219502891095,Thu Jul 10 06:30:56 +0000 2025,orang punya ijazah asli suruh tunjuk jokowi cirit bahkan mencret sekalipun iya mungkin kilah tunjuk ijazah asli tanda memang punya,"['orang', 'punya', 'ijazah', 'asli', 'suruh', 'tunjuk', 'jokowi', 'cirit', 'bahkan', 'mencret', 'sekalipun', 'iya', 'mungkin', 'kilah', 'tunjuk', 'ijazah', 'asli', 'tanda', 'memang', 'punya']","@Tan_Mar3M,@r_martomo",2,1943196219502891095
1943196164305957002,Thu Jul 10 06:30:43 +0000 2025,sama roy suryo klaim yakup hasibuan cs mampu tunjuk ijazah asli jokowi,"['sama', 'roy', 'suryo', 'klaim', 'yakup', 'hasibuan', 'cs', 'mampu', 'tunjuk', 'ijazah', 'asli', 'jokowi']",@tvOneNews,1,1943196164305957002
1943196126422650947,Thu Jul 10 06:30:34 +0000 2025,benar banget mbak proses hasil pisah kalau dapat ijazah iya wajib tuntas proses dulu,"['benar', 'banget', 'mbak', 'proses', 'hasil', 'pisah', 'kalau', 'dapat', 'ijazah', 'iya', 'wajib', 'tuntas', 'proses', 'dulu']",@Chynthia_K,1,1943196126422650947
1943195986681069731,Thu Jul 10 06:30:00 +0000 2025,cari kerja sekarang ibarat cari jarum tumpu jerami susah bukan main sekali kerja usaha nakal tahan ijazah kerja posisi cari kerja akhir dilema praktik jadi,"['cari', 'kerja', 'sekarang', 'ibarat', 'cari', 'jarum', 'tumpu', 'jerami', 'susah', 'bukan', 'main', 'sekali', 'kerja', 'usaha', 'nakal', 'tahan', 'ijazah', 'kerja', 'posisi', 'cari', 'kerja', 'akhir', 'dilema', 'praktik', 'jadi']",,0,1943195986681069731
1943195936303518076,Thu Jul 10 06:29:48 +0000 2025,simpul ijazah jokowi palsu,"['simpul', 'ijazah', 'jokowi', 'palsu']",,0,1943195936303518076
1943195812827423095,Thu Jul 10 06:29:19 +0000 2025,kalau sih acara jokowi salah satu acara bodoh mungkin paling bodoh kalau roysuryo cs kan dasar analisa sesuai ilmu tahu kaji skrng tinggal peelihatkan ijazah asli jokowi analisa roysuryo cs sama kan banget hrsnya,"['kalau', 'sih', 'acara', 'jokowi', 'salah', 'satu', 'acara', 'bodoh', 'mungkin', 'paling', 'bodoh', 'kalau', 'roysuryo', 'cs', 'kan', 'dasar', 'analisa', 'sesuai', 'ilmu', 'tahu', 'kaji', 'skrng', 'tinggal', 'peelihatkan', 'ijazah', 'asli', 'jokowi', 'analisa', 'roysuryo', 'cs', 'sama', 'kan', 'banget', 'hrsnya']","@tvOneNews,@YakupH",2,1943195812827423095
1943195810239562076,Thu Jul 10 06:29:18 +0000 2025,pilih prospek depan lebih jelas point pakai segala nahan ijazah prospek depan th kan tahu kalau memang benar benar urgent yaa point,"['pilih', 'prospek', 'depan', 'lebih', 'jelas', 'point', 'pakai', 'segala', 'nahan', 'ijazah', 'prospek', 'depan', 'th', 'kan', 'tahu', 'kalau', 'memang', 'benar', 'benar', 'urgent', 'yaa', 'point']",@worksfess,1,1943195810239562076
1943195720602800485,Thu Jul 10 06:28:57 +0000 2025,ijazah siapa,"['ijazah', 'siapa']",,0,1943195720602800485
1943195597911228691,Thu Jul 10 06:28:28 +0000 2025,tahan ijazah karyawan jadi lampung lbh ansor minta kemnaker turun tangan,"['tahan', 'ijazah', 'karyawan', 'jadi', 'lampung', 'lbh', 'ansor', 'minta', 'kemnaker', 'turun', 'tangan']",,0,1943195597911228691
1943195596103520511,Thu Jul 10 06:28:27 +0000 2025,nunjukin ijazah asli mau tertawa,"['nunjukin', 'ijazah', 'asli', 'mau', 'tertawa']",@tvOneNews,1,1943195596103520511
1943195593935065111,Thu Jul 10 06:28:27 +0000 2025,lama publik anggap ijazah palsu,"['lama', 'publik', 'anggap', 'ijazah', 'palsu']","@keuangannews_id,@keuangan,@jokowi",3,1943195593935065111
1943195565145153995,Thu Jul 10 06:28:20 +0000 2025,jokowi mau enak sendiri hancur negara korupsi edan enak minta skandal ijazah palsu guna verifikasi validasi kpu pilpres 2024 henti ndasssmu yang,"['jokowi', 'mau', 'enak', 'sendiri', 'hancur', 'negara', 'korupsi', 'edan', 'enak', 'minta', 'skandal', 'ijazah', 'palsu', 'guna', 'verifikasi', 'validasi', 'kpu', 'pilpres', '2024', 'henti', 'ndasssmu', 'yang']","@BerisikMedsos,@Sw4r4T3rbungk4m,@PngAdilnR4kyt,@SianiparRismon,@KMRTRoySuryo,@DokterTifa",6,1943195565145153995
